height,temperature,np,HI,HII,HMinus
-10000000.0,9380.0,3732430000000000.0,1.32898e+17,3702290000000000.0,147956000000.0
-9000000.0,9120.0,2881280000000000.0,1.32247e+17,2853310000000000.0,120821000000.0
-8000000.0,8850.0,2167040000000000.0,1.31459e+17,2141210000000000.0,96601600000.0
-7000000.0,8540.0,1532950000000000.0,1.31091e+17,1509310000000000.0,73923400000.0
-6000000.0,8220.0,1044270000000000.0,1.30477e+17,1022710000000000.0,54764500000.0
-5000000.0,7900.0,690994000000000.0,1.29629e+17,671328000000000.0,39490700000.0
-4000000.0,7590.0,449136000000000.0,1.28269e+17,431146000000000.0,27848600000.0
-3000000.0,7280.0,283774000000000.0,1.27133e+17,267203000000000.0,19120500000.0
-2000000.0,7020.0,187852000000000.0,1.24927e+17,172439000000000.0,13397100000.0
-1000000.0,6780.0,125883000000000.0,1.22189e+17,111476000000000.0,9346000000.0
0.0,6583.0,89265800000000.0,1.18724e+17,75719000000000.0,6726000000.0
1000000.0,6397.0,63994100000000.0,1.14849e+17,51248500000000.0,4812730000.0
2000000.0,6231.0,47293000000000.0,1.10665e+17,35282400000000.0,3487830000.0
3500000.0,6006.0,31292700000000.0,1.0398e+17,20310100000000.0,2182160000.0
5000000.0,5826.0,22371800000000.0,9.68577e+16,12341600000000.0,1446860000.0
7500000.0,5607.0,14610200000000.0,8.44039e+16,6064080000000.0,822785000.0
10000000.0,5431.0,10253000000000.0,7.2507e+16,3053110000000.0,509345000.0
12500000.0,5288.0,7603420000000.0,6.15584e+16,1595230000000.0,334390000.0
15000000.0,5165.0,5816120000000.0,5.17792e+16,846956000000.0,227655000.0
17500000.0,5080.0,4612790000000.0,4.30295e+16,521833000000.0,157402000.0
20000000.0,5010.0,3698290000000.0,3.55197e+16,341436000000.0,108768000.0
25000000.0,4907.0,2422620000000.0,2.38098e+16,174947000000.0,51064200.0
30000000.0,4805.0,1571820000000.0,1.57799e+16,86188300000.0,23749000.0
35000000.0,4700.0,1010810000000.0,1.035e+16,40442100000.0,10839100.0
40000000.0,4590.0,643770000000.0,6728980000000000.0,17610400000.0,4830880.0
45000000.0,4485.0,407420000000.0,4323990000000000.0,7660580000.0,2114880.0
49000000.0,4435.0,284326000000.0,2994000000000000.0,4986710000.0,1047580.0
52500000.0,4410.0,208054000000.0,2156000000000000.0,3932870000.0,559581.0
56000000.0,4400.0,152536000000.0,1545000000000000.0,3511870000.0,293396.0
61500000.0,4435.0,95014000000.0,905896000000000.0,4398400000.0,106430.0
66000000.0,4510.0,67886900000.0,582492000000000.0,7624750000.0,48137.4
70000000.0,4640.0,60724700000.0,391382000000000.0,18037700000.0,26184.2
75000000.0,4840.0,80225200000.0,240450000000000.0,50288300000.0,15984.7
80000000.0,5090.0,152984000000.0,149371000000000.0,129373000000.0,13141.8
85400000.0,5430.0,361632000000.0,90578300000000.0,341714000000.0,13269.7
90000000.0,5720.0,676630000000.0,60310000000000.0,660006000000.0,13405.1
94600000.0,5969.0,1093900000000.0,40849300000000.0,1080660000000.0,12136.3
97100000.0,6100.0,1363500000000.0,33098100000000.0,1351930000000.0,11286.0
100300000.0,6225.0,1606330000000.0,25513300000000.0,1596670000000.0,9625.11
103200000.0,6315.0,1747380000000.0,20240800000000.0,1739180000000.0,8034.11
106500000.0,6400.0,1833450000000.0,15593400000000.0,1826640000000.0,6356.31
110100000.0,6474.0,1816310000000.0,11789300000000.0,1810750000000.0,4920.5
114300000.0,6531.0,1697010000000.0,8587390000000.0,1692610000000.0,3499.8
121400000.0,6576.0,1354330000000.0,5136600000000.0,1351400000000.0,1894.45
129900000.0,6598.0,936877000000.0,2844910000000.0,935085000000.0,935.6030000000001
139800000.0,6610.0,550579000000.0,1462400000000.0,549598000000.0,454.902
152000000.0,6623.0,324073000000.0,602017000000.0,323583000000.0,143.503
161700000.0,6633.0,223634000000.0,293662000000.0,223338000000.0,54.1047
172200000.0,6643.0,151210000000.0,135368000000.0,151032000000.0,18.6018
182000000.0,6652.0,113263000000.0,59856700000.0,113143000000.0,5.6036
189400000.0,6660.0,89073800000.0,32015600000.0,88984400000.0,2.2878700000000003
194600000.0,6667.0,76805600000.0,18698700000.0,76731300000.0,1.02731
198900000.0,6674.0,68641400000.0,10593000000.0,68577000000.0,0.431861
202400000.0,6680.0,62596900000.0,5890620000.0,62539400000.0,0.173626
205500000.0,6686.0,57753100000.0,2719230000.0,57700800000.0,0.049492699999999994
208300000.0,6694.0,53183100000.0,1244620000.0,53135400000.0,0.0145156
209800000.0,6700.0,50813300000.0,762257000.0,50767700000.0,0.00539096
211000000.0,6706.0,48992300000.0,491538000.0,48948500000.0,0.00150377
212000000.0,6718.0,47485600000.0,386881000.0,47443100000.0,0.000555399
212600000.0,6740.0,46559100000.0,332513000.0,46517500000.0,0.00023062099999999997
213000000.0,6768.0,45920300000.0,240739000.0,45879300000.0,0.00011868
213200000.0,6800.0,45493900000.0,196727000.0,45453300000.0,8.87358e-05
213400000.0,6870.0,44824100000.0,145986000.0,44784000000.0,6.20124e-05
213600000.0,6992.0,43822100000.0,97050800.0,43783000000.0,4.09421e-05
213800000.0,7248.0,42029000000.0,48904200.0,41991100000.0,2.3024000000000002e-05
214193000.0,7950.0,37887200000.0,3869880.0,37836100000.0,9.84421e-07
214516000.0,9115.0,32482100000.0,481610.0,31869500000.0,1.99046e-07
214705000.0,10980.0,27065200000.0,44781.3,24690000000.0,3.57691e-08
214865000.0,13200.0,22115900000.0,6262.17,20090000000.0,8.439979999999998e-09
215012000.0,15760.0,18308900000.0,1416.02,16630000000.0,3.26681e-09
215116000.0,18140.0,15820900000.0,614.868,14370000000.0,2.46697e-09
215203000.0,20510.0,13975200000.0,372.588,12690000000.0,2.6523e-09
215287000.0,23100.0,12446900000.0,243.77200000000002,11250000000.0,2.8939899999999994e-09
215348000.0,25120.0,11646300000.0,185.827,10330000000.0,3.07793e-09
215407000.0,27130.0,11106800000.0,150.44899999999998,9547000000.0,3.38902e-09
215473000.0,29500.0,10420300000.0,115.367,8757000000.0,3.37876e-09
215550000.0,32260.0,9570440000.0,82.8578,7985000000.0,2.9456300000000003e-09
215616000.0,34580.0,8920840000.0,66.9428,7433000000.0,2.81659e-09
215682000.0,36870.0,8354160000.0,56.2702,6958000000.0,2.7789599999999997e-09
215757000.0,39400.0,7815060000.0,47.9938,6508000000.0,2.8023999999999998e-09
215821000.0,41450.0,7427550000.0,42.9014,6185000000.0,2.8412500000000003e-09
215884000.0,43400.0,7095060000.0,38.9944,5908000000.0,2.88853e-09
215942000.0,45140.0,6824930000.0,36.0899,5683000000.0,2.9365000000000004e-09
216001000.0,46800.0,6585990000.0,33.699,5484000000.0,2.9830699999999997e-09
216063000.0,48490.0,6361440000.0,31.5895,5297000000.0,3.0325999999999996e-09
216126000.0,50140.0,6157290000.0,29.7773,5127000000.0,3.08051e-09
216229000.0,52690.0,5866670000.0,25.6732,4885000000.0,2.77539e-09
216329000.0,55020.0,5625290000.0,22.2338,4684000000.0,2.44733e-09
216456000.0,57790.0,5365890000.0,19.2095,4468000000.0,2.18085e-09
216603000.0,60790.0,5110090000.0,16.7378,4255000000.0,1.97474e-09
216769000.0,63950.0,4868690000.0,14.7621,4054000000.0,1.81999e-09
216999000.0,68000.0,4590070000.0,12.8177,3822000000.0,1.67228e-09
217232000.0,71810.0,4357090000.0,11.413,3628000000.0,1.56908e-09
217528000.0,76330.0,4109690000.0,10.1002,3422000000.0,1.47333e-09
217874000.0,81220.0,3873100000.0,8.98789,3225000000.0,1.39249e-09
218244000.0,86120.0,3661730000.0,6.3968300000000005,3049000000.0,8.282289999999999e-10
